_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3584134,145 Strathmore Blvd,High Rise,14,_6dca7DFBA16B59D,,2021-05-13,2021-05-27,0,No
3584135,50 Cambridge Ave,High Rise,14,_6dca7E081C0F6F4,,2021-05-04,2021-06-02,0,No
3584136,10 Hogarth Ave,High Rise,14,_6dca7E4116B7F1D,,2021-04-23,2021-05-18,0,No
3584137,39 Brant St,High Rise,10,_6dca84993B6CC6C,,2021-04-29,2022-04-14,1,Yes
3584138,364 The East Mall,Low Rise,2,_6dca856492B324F,,2021-04-21,2021-12-23,0,No
3584139,2575 Danforth Ave,High Rise,19,_6dcaaA7F0F1D1AD,,2021-04-21,2021-04-22,0,No
3584140,55 Merchants' Wharf,High Rise,10,_6dcab0F5104E615,,2021-04-20,2021-04-21,0,No
3584141,30 Roehampton Ave,High Rise,12,_6dcab5472D8125A,,2021-04-13,2021-09-20,0,No
3584142,40 Falstaff Ave,High Rise,5,_6dcad680BF803E3,,2021-03-16,2021-04-12,0,No
3584143,145 Cumberland St,High Rise,11,_6dcbbAC36104090,,2021-04-21,2021-04-21,0,No
3584144,147 Gerrard St E,Rooming House,13,_6dcbc192D1368C1,,2021-04-21,2021-04-28,1,Yes
3584145,147 Gerrard St E,Rooming House,13,_6dcbc192D1368C1,,2021-04-21,2021-04-28,2,Yes
3584146,147 Gerrard St E,Rooming House,13,_6dcbc192D1368C1,,2021-04-21,2021-04-28,3,Yes
3584147,147 Gerrard St E,Rooming House,13,_6dcbc192D1368C1,,2021-04-21,2021-04-28,4,Yes
3584148,2000 Sheppard Ave W,High Rise,7,_6dcbc301A015894,,2021-04-21,2021-05-12,0,No
3584149,901 Dixon Rd,Hotel & Motel,1,_6dcbcA447AD6112,,2021-04-21,2021-04-30,0,No
3584150,567 Scarborough Golf Club Rd,High Rise,24,_6dcbcD38FA8DB7C,,2021-04-21,2021-04-28,0,No
3584151,7 Summerland Ter,High Rise,3,_6dcbf8E8C8B464D,,2021-04-21,2021-06-08,0,No
3584152,215 Gosford Blvd,High Rise,7,_6dcc12C343BE302,,2021-04-21,2021-05-12,0,No
3584153,60 Tyndall Ave,High Rise,4,_6dcc23C88A0C9DB,,2021-04-21,2021-04-28,0,No
3584154,111 St George St,High Rise,11,_6dcc2945ACB419B,,2021-05-03,2021-06-23,1,Yes
3584155,111 St George St,High Rise,11,_6dcc2945ACB419B,,2021-05-03,2021-06-23,2,Yes
3584156,111 St George St,High Rise,11,_6dcc2945ACB419B,,2021-05-03,2021-06-23,3,Yes
3584157,111 St George St,High Rise,11,_6dcc2945ACB419B,,2021-05-03,2021-06-23,4,Yes
3584158,40 Tyndall Ave,High Rise,4,_6dcc2C1121BBC5E,,2021-04-21,2021-04-28,0,No
3584159,111 St George St,High Rise,11,_6dcc2F8B5E2CD66,,2021-04-22,2021-04-22,0,No
3584160,166 Eastbourne Ave,Low Rise,12,_6dcc5CA1A0FA0BB,,2021-04-29,2021-04-30,0,No
