_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3530512,40 Stevenson Rd,High Rise,1,_643dcACA293CD9B,,2017-06-05,2017-06-05,0,No
3530513,787 Jane St,High Rise,5,_644fcB35B649041,,2017-02-03,2017-02-06,0,No
3530514,2 Glamorgan Ave,High Rise,21,_645bb2F455E4579,,2017-01-10,2017-02-08,0,No
3530515,65 Silver Springs Blvd,High Rise,22,_645bbB70BB8E2B7,,2017-01-16,2017-02-06,0,No
3530516,3479 St Clair Ave E,High Rise,20,_6468dD60EA99A13,,2017-01-12,2017-01-13,0,No
3530517,90 Park Lawn Rd,High Rise,3,_646ee65169A026A,,2017-01-12,2017-01-12,0,No
3530518,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,1,Yes
3530519,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,2,Yes
3530520,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,3,Yes
3530521,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,4,Yes
3530522,2825 Islington Ave,High Rise,7,_6471c0794A14670,,2017-01-13,2017-01-16,0,No
3530523,15 Tobermory Dr,High Rise,7,_6471d47D1E44056,,2017-01-26,2017-08-17,1,Yes
3530524,15 Tobermory Dr,High Rise,7,_6471d47D1E44056,,2017-01-26,2017-08-17,2,Yes
3530525,2095 Lake Shore Blvd W,High Rise,3,_6471e5AA9450596,,2017-01-16,2017-01-19,0,No
3530526,90 Park Lawn Rd,High Rise,3,_6471e69CD587484,,2017-01-12,2017-02-28,0,No
3530527,40 Stevenson Rd,High Rise,1,_64739367AD4590F,,2017-04-10,2017-04-26,0,No
3530528,25 Cedarcroft Blvd,High Rise,6,_64796EF398ABC0B,,2017-01-24,2017-02-07,0,No
3530529,10 Garnett Janes Rd,High Rise,3,_64797DB343C6165,,2017-01-11,2017-01-12,0,No
3530530,145 Queen St E,High Rise,13,_647ad805788B8F8,,2017-01-26,2017-01-26,0,No
3530531,1 Firvalley Crt,High Rise,20,_647aeBB2F2E86F1,,2017-01-11,2017-01-11,0,No
3530532,40 Teesdale Pl,High Rise,20,_647afBF8FD1EDF2,,2017-01-05,2017-05-30,0,No
3530533,125 Lawton Blvd,High Rise,12,_647de3C96665D57,,2017-01-11,2017-01-17,0,No
3530534,168 John St,High Rise,10,_647de979DBC10AB,,2017-01-04,2017-01-04,0,No
3530535,5 Agate Rd,High Rise,6,_647e43DEEC10CC1,,2017-01-04,2017-02-02,0,No
3530536,341 Bloor St W,High Rise,11,_647f710AACD45BD,,2017-01-19,2017-01-19,0,No
3530537,32 Trolley Cres,High Rise,13,_647fa553D53634A,,2017-01-04,2017-01-04,0,No
3530538,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,1,Yes
3530539,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,2,Yes
3530540,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,3,Yes
3530541,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,4,Yes
3530542,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,5,Yes
3530543,2450 Weston Rd,High Rise,5,_648576358C6AB4A,,2017-02-07,2017-02-13,0,No
3530544,100 Upper Madison Ave,High Rise,18,_6485e1A59AE077B,,2017-01-19,2018-01-30,1,Yes
3530545,100 Upper Madison Ave,High Rise,18,_6485e1A59AE077B,,2017-01-19,2018-01-30,2,Yes
3530546,15 Tobermory Dr,High Rise,7,_6486d8B662ECC5E,,2017-01-26,2017-01-26,0,No
3530547,3847 Lawrence Ave E,High Rise,24,_6486e678373A9C1,,2017-01-05,2017-01-06,0,No
3530548,120 Town Haven Pl,High Rise,20,_6486e80043FE323,,2017-01-19,2017-01-24,0,No
3530549,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,1,Yes
3530550,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,2,Yes
3530551,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,3,Yes
3530552,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,4,Yes
3530553,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,5,Yes
3530554,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,6,Yes
3530555,2850 Jane St,High Rise,7,_64a350AC802AA5E,,2017-01-09,2017-01-10,0,No
3530556,170 Chalkfarm Dr,High Rise,7,_64a357149D818F7,,2017-01-12,2017-01-17,0,No
3530557,77 Howard St,High Rise,13,_64a3581670FB6D5,,2017-01-10,2017-01-12,0,No
3530558,710 Humberwood Blvd,High Rise,1,_64a35B123E25B30,,2017-01-10,2017-01-11,0,No
3530559,15 Scadding Ave,High Rise,10,_64a35BD9BDB2263,,2017-01-09,2017-01-09,0,No
3530560,910 Queens Plate Dr,High Rise,1,_64a3618A620F8E2,,2017-01-09,2017-01-09,0,No
3530561,377 Madison Ave,High Rise,12,_64a363686ADB454,,2017-01-09,2017-01-10,0,No
3530562,900 Queens Plate Dr,High Rise,1,_64a363C8BB04A87,,2017-01-09,2017-01-09,0,No
3530563,210 Markland Dr,High Rise,2,_64a3655BA9DDCA0,,2017-01-09,2017-04-19,1,Yes
3530564,210 Markland Dr,High Rise,2,_64a3655BA9DDCA0,,2017-01-09,2017-04-19,2,Yes
3530565,210 Woolner Ave,High Rise,5,_64a36EC27650048,,2017-01-10,2017-02-07,0,No
3530566,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,1,Yes
3530567,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,2,Yes
3530568,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,3,Yes
3530569,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,4,Yes
3530570,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,5,Yes
3530571,110 Parkway Forest Dr,High Rise,17,_64a3871E0CE2E82,,2017-01-09,2017-04-20,6,Yes
3530572,100 Gowan Ave,High Rise,14,_64a391CC896CC0E,,2017-01-09,2017-02-02,0,No
3530573,5 Capri Rd,High Rise,2,_64a393FABCC543A,,2017-01-09,2017-01-09,0,No
3530574,80 Gowan Ave,High Rise,14,_64a394FE7D75180,,2017-01-09,2017-02-03,0,No
3530575,40 Fountainhead Rd,High Rise,7,_64a3a6FB3E82257,,2017-01-13,2017-01-13,0,No
3530576,9 Valhalla Inn Rd,High Rise,2,_64a3a750D586534,,2017-01-11,2017-01-24,0,No
3530577,35 Fountainhead Rd,High Rise,7,_64a3aDFD6601562,,2017-01-06,2017-05-25,0,No
3530578,511 The West Mall,High Rise,2,_64a3aF2A065F7A9,,2017-01-11,2017-02-13,1,Yes
3530579,511 The West Mall,High Rise,2,_64a3aF2A065F7A9,,2017-01-11,2017-02-13,2,Yes
3530580,1201 Steeles Ave W,High Rise,6,_64a3bB44C8197E9,,2017-01-20,2017-02-07,0,No
3530581,11753 Sheppard Ave E,High Rise,25,_64a3dAFF7A0369E,,2017-01-18,2017-01-27,0,No
3530582,75 Tandridge Cres,High Rise,1,_64a4cEC1BA69DEA,,2017-01-12,2017-01-12,0,No
3530583,77 Quebec Ave,High Rise,4,_64a4dBFA712DC43,,2017-01-10,2017-01-11,0,No
3530584,1665 Victoria Park Ave,High Rise,21,_64a4eF4EA9504B5,,2017-01-11,2017-01-11,0,No
3530585,100 High Park Ave,High Rise,4,_64a4f0D96DDCDE9,,2017-01-10,2017-01-19,0,No
3530586,1815 Yonge St,High Rise,12,_64a5045040B5EEA,,2017-01-12,2017-01-18,1,Yes
3530587,840 Queens Plate Dr,High Rise,1,_64a50D28AAC3D4C,,2017-01-18,2017-03-21,0,No
3530588,650 Queens Quay W,High Rise,10,_64a530E14D326CD,,2017-01-12,2017-01-12,0,No
3530589,170 Chalkfarm Dr,High Rise,7,_64a55BADE9DAE15,,2017-01-10,2017-01-10,0,No
3530590,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,1,Yes
3530591,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,2,Yes
3530592,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,3,Yes
3530593,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,4,Yes
3530594,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,5,Yes
3530595,1239 Dundas St W,High Rise,10,_64a5644009B2D88,,2017-01-17,2017-05-04,6,Yes
3530596,720 Trethewey Dr,High Rise,5,_64b0dBF524CE6E2,,2017-01-18,2017-01-18,0,No
3530597,3018 Yonge St,High Rise,8,_64b0e04E2DA15A6,,2017-01-19,2017-01-19,0,No
3530598,1765 Weston Rd,High Rise,5,_64b0e4EF90E5137,,2017-01-19,2017-04-21,0,No
3530599,2195 Jane St,High Rise,6,_64b0e529EBB3EE8,,2017-01-18,2017-01-18,0,No
3530600,38 Orchard View Blvd,High Rise,8,_64b0e57C7ACACF8,,2017-02-15,2017-03-09,0,No
3530601,5 Marine Parade Dr,High Rise,3,_64b0e8C202C2D3E,,2017-01-18,2017-01-26,0,No
3530602,75 Queens Wharf Rd,High Rise,10,_64b0e9BA7DEA15C,,2017-01-18,2017-03-08,1,Yes
3530603,75 Queens Wharf Rd,High Rise,10,_64b0e9BA7DEA15C,,2017-01-18,2017-03-08,2,Yes
3530604,855 Roselawn Ave,High Rise,8,_64b0f1CB98881CB,,2017-01-20,2017-01-20,0,No
3530605,33 Shore Breeze Dr,High Rise,3,_64b1064C4D38527,,2017-01-11,2017-01-20,0,No
3530606,5005 Dundas St W,High Rise,3,_64b156205F75EC5,,2017-01-18,2019-11-04,0,No
3530607,85 Queens Wharf Rd,High Rise,10,_64b15FEF604C052,,2017-01-18,2017-02-06,1,Yes
3530608,85 Queens Wharf Rd,High Rise,10,_64b15FEF604C052,,2017-01-18,2017-02-06,2,Yes
3530609,200 Wellesley St E,High Rise,13,_64b249466B43271,,2017-01-19,2017-02-17,1,Yes
3530610,3390 Weston Rd,High Rise,7,_64b24A0B7C05D55,,2017-01-19,2017-01-25,0,No
3530611,140 Simcoe St,High Rise,10,_64b25BA9FCE4CCF,,2017-01-19,2017-01-24,1,Yes
3530612,1 Deauville Lane,High Rise,16,_64b263A3363CB10,,2017-01-19,2017-04-26,1,Yes
3530613,1 Deauville Lane,High Rise,16,_64b263A3363CB10,,2017-01-19,2017-04-26,2,Yes
3530614,1 Deauville Lane,High Rise,16,_64b263A3363CB10,,2017-01-19,2017-04-26,3,Yes
3530615,1 Deauville Lane,High Rise,16,_64b263A3363CB10,,2017-01-19,2017-04-26,4,Yes
3530616,1 Deauville Lane,High Rise,16,_64b263A3363CB10,,2017-01-19,2017-04-26,5,Yes
3530617,2468 Eglinton Ave W,High Rise,5,_64b2d1F6BD603CB,,2017-01-17,2017-02-09,0,No
3530618,40 Panorama Crt,High Rise,1,_64b3c20DE4B0742,,2017-01-27,2017-01-27,0,No
3530619,15 Scadding Ave,High Rise,10,_64b3d415EB0BF79,,2017-01-20,2017-01-20,0,No
3530620,55 Harbour Sq,High Rise,10,_64b3dFA91BFD775,,2017-01-20,2017-01-20,0,No
3530621,111 Davisville Ave,High Rise,12,_64b3e1B2FDF9450,,2017-01-20,2017-01-25,0,No
3530622,110 Mornelle Crt,High Rise,24,_64b455DCF766B34,,2017-01-12,2017-01-17,0,No
3530623,330 Dixon Rd,High Rise,1,_64b459EB0BCCCCF,,2017-01-19,2017-03-29,0,No
3530624,2765 Islington Ave,High Rise,1,_64b45D2180A5C8F,,2017-01-20,2017-04-26,0,No
3530625,460 Jarvis St,High Rise,13,_64b8412C7967838,,2017-01-23,2017-01-23,0,No
3530626,15 Michael Power Pl,High Rise,3,_64b841969E5FB61,,2017-01-24,2017-02-10,0,No
3530627,2250 Kennedy Rd,High Rise,22,_64b85169E7AB159,,2017-01-23,2017-01-23,0,No
3530628,236 Albion Rd,High Rise,1,_64b8523FA72A34A,,2017-02-14,2017-02-14,0,No
3530629,240 Wellesley St E,High Rise,13,_64b8530A25C5E9D,,2017-03-09,2017-03-09,0,No
3530630,2737 Kipling Ave,High Rise,1,_64b856AA1895396,,2017-01-27,2017-01-27,0,No
3530631,2765 Islington Ave,High Rise,1,_64b858E6EF5C1D9,,2017-01-27,2017-01-27,0,No
3530632,399 Adelaide St W,High Rise,10,_64b859D1BB6357A,,2017-01-24,2017-02-08,0,No
3530633,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,1,Yes
3530634,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,2,Yes
3530635,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,3,Yes
3530636,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,4,Yes
3530637,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,5,Yes
3530638,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,6,Yes
3530639,160 Chalkfarm Dr,High Rise,7,_64b85B5513BE12F,,2017-01-23,2017-05-17,7,Yes
3530640,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,7,Yes
3530641,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,8,Yes
3530642,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,9,Yes
3530643,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,10,Yes
3530644,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,11,Yes
3530645,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,12,Yes
3530646,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,13,Yes
3530647,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,14,Yes
3530648,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,15,Yes
3530649,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,16,Yes
3530650,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,17,Yes
3530651,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,18,Yes
3530652,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,19,Yes
3530653,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,20,Yes
3530654,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,21,Yes
3530655,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,22,Yes
3530656,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,23,Yes
3530657,600 Fleet St,High Rise,10,_64b9e66837CBE19,,2017-03-15,2018-04-11,24,Yes
3530658,21 Grand Magazine St,High Rise,10,_64b9e7C1192434D,,2017-03-30,2017-09-06,1,Yes
3530659,21 Grand Magazine St,High Rise,10,_64b9e7C1192434D,,2017-03-30,2017-09-06,2,Yes
3530660,21 Grand Magazine St,High Rise,10,_64b9e7C1192434D,,2017-03-30,2017-09-06,3,Yes
3530661,21 Grand Magazine St,High Rise,10,_64b9e7C1192434D,,2017-03-30,2017-09-06,4,Yes
3530662,21 Grand Magazine St,High Rise,10,_64b9e7C1192434D,,2017-03-30,2017-09-06,5,Yes
3530663,50 Bruyeres Mews,High Rise,10,_64b9e976AD23EDC,,2017-03-14,2017-08-02,1,Yes
3530664,50 Bruyeres Mews,High Rise,10,_64b9e976AD23EDC,,2017-03-14,2017-08-02,2,Yes
3530665,50 Bruyeres Mews,High Rise,10,_64b9e976AD23EDC,,2017-03-14,2017-08-02,3,Yes
3530666,50 Bruyeres Mews,High Rise,10,_64b9e976AD23EDC,,2017-03-14,2017-08-02,4,Yes
3530667,50 Bruyeres Mews,High Rise,10,_64b9e976AD23EDC,,2017-03-14,2017-08-02,5,Yes
3530668,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,1,Yes
3530669,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,2,Yes
3530670,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,3,Yes
3530671,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,4,Yes
3530672,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,5,Yes
3530673,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,6,Yes
3530674,628 Fleet St,High Rise,10,_64b9eA86A981476,,2017-03-15,2017-11-21,7,Yes
3530675,1101 Leslie St,High Rise,16,_64c2d37404C5F78,,2017-01-30,2017-06-15,1,Yes
3530676,381 Front St W,High Rise,10,_64c2dF155F169D5,,2017-01-30,2017-02-01,0,No
3530677,130 Eglinton Ave E,High Rise,12,_64c2dFDBFE93656,,2017-01-31,2017-01-31,0,No
3530678,25 George St,High Rise,13,_64c2e0A50AF1EAA,,2017-01-30,2017-02-23,0,No
3530679,4110 Lawrence Ave E,High Rise,24,_64c2e0C86243242,,2017-01-30,2017-04-11,0,No
3530680,30 Herons Hill Way,High Rise,17,_64c2e1B655DEF1D,,2017-02-06,2017-02-06,0,No
3530681,763 Bay St,High Rise,11,_64c2e277EA60F29,,2017-01-31,2017-02-03,0,No
3530682,260 Wellesley St E,High Rise,13,_64c2e2F89F91C09,,2017-01-30,2017-02-07,1,Yes
3530683,825 Church St,High Rise,11,_64c302BB43B50FE,,2017-01-31,2017-02-01,1,Yes
3530684,20 West Lodge Ave,High Rise,4,_64c3046C1A46658,,2017-01-30,2017-01-30,0,No
3530685,1600 Sandhurst Crcl,High Rise,23,_64c3541939C8A76,,2017-02-09,2017-02-09,0,No
3530686,2466 Eglinton Ave E,High Rise,21,_64c35EEEE68789A,,2017-02-08,2017-02-08,0,No
3530687,900 Queens Plate Dr,High Rise,1,_64c36B4326C0578,,2017-01-31,2017-01-31,0,No
3530688,251 Sherbourne St,High Rise,13,_64c451583317244,,2017-01-31,2017-02-02,0,No
3530689,25 Lower Simcoe St,High Rise,10,_64c4561E3902B4C,,2017-02-01,2017-02-08,1,Yes
3530690,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,1,Yes
3530691,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,2,Yes
3530692,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,3,Yes
3530693,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,4,Yes
3530694,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,5,Yes
3530695,444 Logan Ave,High Rise,14,_64c456B37B325D8,,2017-01-31,2017-11-06,6,Yes
3530696,444 Logan Ave,High Rise,14,_64c456E2F433F10,,2017-01-31,2017-01-31,0,No
3530697,200 Wellesley St E,High Rise,13,_64c4606E51AB970,,2017-01-31,2017-01-31,0,No
3530698,300 Antibes Dr,High Rise,6,_64c461BE083FD5A,,2017-02-03,2017-05-30,0,No
3530699,1830 Bloor St W,High Rise,4,_64c4674E9D9C15F,,2017-02-01,2017-05-26,1,Yes
3530700,15 Tobermory Dr,High Rise,7,_64c46E5A5F01C79,,2017-02-01,2017-07-06,0,No
3530701,325 Bleecker St,High Rise,13,_64c47C57066AED3,,2017-02-03,2017-02-07,0,No
3530702,71 Merton St,High Rise,12,_64c49AE3AE6406F,,2017-02-01,2017-03-21,0,No
3530703,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,1,Yes
3530704,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,2,Yes
3530705,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,3,Yes
3530706,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,4,Yes
3530707,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,5,Yes
3530708,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,6,Yes
3530709,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,7,Yes
3530710,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,8,Yes
3530711,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,9,Yes
3530712,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,10,Yes
3530713,1463 Eglinton Ave W,High Rise,12,_64c4b2CDAE92E8F,,2017-02-01,2019-01-15,11,Yes
3530714,161 St George St,High Rise,11,_64c4d0219E87D42,,2017-04-04,2017-11-30,3,Yes
3530715,161 St George St,High Rise,11,_64c4d0219E87D42,,2017-04-04,2017-11-30,4,Yes
3530716,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,1,Yes
3530717,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,2,Yes
3530718,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,3,Yes
3530719,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,4,Yes
3530720,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,5,Yes
3530721,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,6,Yes
3530722,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,7,Yes
3530723,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,8,Yes
3530724,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,9,Yes
3530725,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,10,Yes
3530726,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,11,Yes
3530727,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,12,Yes
3530728,59 Spadina Rd,High Rise,11,_64c4d05BE7268E7,,2017-06-08,2018-04-18,13,Yes
3530729,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,1,Yes
3530730,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,2,Yes
3530731,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,3,Yes
3530732,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,4,Yes
3530733,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,5,Yes
3530734,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,6,Yes
3530735,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,7,Yes
3530736,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,8,Yes
3530737,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,9,Yes
3530738,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,10,Yes
3530739,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,11,Yes
3530740,149 St George St,High Rise,11,_64c4d06015B4604,,2017-04-13,2018-01-26,12,Yes
3530741,214 St George St,High Rise,11,_64c4d0D87C849CF,,2017-04-04,2017-04-26,0,No
3530742,191 St George St,High Rise,11,_64c4d116E9DC0CD,,2017-04-04,2017-05-30,1,Yes
3530743,191 St George St,High Rise,11,_64c4d116E9DC0CD,,2017-04-04,2017-05-30,2,Yes
3530744,191 St George St,High Rise,11,_64c4d116E9DC0CD,,2017-04-04,2017-05-30,3,Yes
3530745,191 St George St,High Rise,11,_64c4d116E9DC0CD,,2017-04-04,2017-05-30,4,Yes
3530746,277 St George St,High Rise,11,_64c4d519061B3C2,,2017-06-13,2017-11-28,5,Yes
3530747,277 St George St,High Rise,11,_64c4d519061B3C2,,2017-06-13,2017-11-28,6,Yes
3530748,277 St George St,High Rise,11,_64c4d519061B3C2,,2017-06-13,2017-11-28,7,Yes
3530749,277 St George St,High Rise,11,_64c4d519061B3C2,,2017-06-13,2017-11-28,8,Yes
3530750,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,1,Yes
3530751,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,2,Yes
3530752,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,3,Yes
3530753,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,4,Yes
3530754,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,5,Yes
3530755,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,6,Yes
3530756,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,7,Yes
3530757,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,8,Yes
3530758,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,9,Yes
3530759,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,10,Yes
3530760,151 St George St,High Rise,11,_64c4d622B14F668,,2017-04-13,2018-06-28,11,Yes
3530761,280 St George St,High Rise,11,_64c4d929EBBFEE1,,2017-05-25,2017-08-17,1,Yes
3530762,280 St George St,High Rise,11,_64c4d929EBBFEE1,,2017-05-25,2017-08-17,2,Yes
3530763,280 St George St,High Rise,11,_64c4d929EBBFEE1,,2017-05-25,2017-08-17,3,Yes
3530764,280 St George St,High Rise,11,_64c4d929EBBFEE1,,2017-05-25,2017-08-17,4,Yes
3530765,224 St George St,High Rise,11,_64c4dA0B315F6B8,,2017-04-04,2017-04-20,0,No
3530766,155 Legion Rd N,High Rise,3,_64c4dAA85876FB5,,2017-02-01,2017-07-25,0,No
3530767,153 St George St,High Rise,11,_64c4dAC1F32E1D7,,2017-05-04,2017-10-18,1,Yes
3530768,153 St George St,High Rise,11,_64c4dAC1F32E1D7,,2017-05-04,2017-10-18,2,Yes
3530769,153 St George St,High Rise,11,_64c4dAC1F32E1D7,,2017-05-04,2017-10-18,3,Yes
3530770,153 St George St,High Rise,11,_64c4dAC1F32E1D7,,2017-05-04,2017-10-18,4,Yes
3530771,153 St George St,High Rise,11,_64c4dAC1F32E1D7,,2017-05-04,2017-10-18,5,Yes
3530772,50 Prince Arthur Ave,High Rise,11,_64c4dAD046F8ACB,,2017-04-20,2018-07-26,1,Yes
